start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 175 / 3000, Score: 15500,  block: 301,  Reward: -6.1370 Cleared lines: 111, col: 52/20/5/1 
Epoch: 176 / 3000, Score: 15200,  block: 291,  Reward: -6.3171 Cleared lines: 103, col: 38/24/3/2 
Epoch: 177 / 3000, Score: 17000,  block: 301,  Reward: -1.1641 Cleared lines: 118, col: 52/23/4/2 
Epoch: 178 / 3000, Score: 14600,  block: 301,  Reward: -7.1147 Cleared lines: 106, col: 55/16/5/1 
Epoch: 179 / 3000, Score: 15000,  block: 301,  Reward: -0.2896 Cleared lines: 116, col: 62/22/2/1 
Epoch: 180 / 3000, Score: 17000,  block: 301,  Reward: -2.0177 Cleared lines: 115, col: 48/22/5/2 
Epoch: 181 / 3000, Score: 17800,  block: 301,  Reward: 1.5895 Cleared lines: 117, col: 53/16/8/2 
Epoch: 182 / 3000, Score: 16400,  block: 301,  Reward: -0.3315 Cleared lines: 119, col: 53/25/4/1 
Epoch: 183 / 3000, Score: 1300,  block: 71,  Reward: -3.9891 Cleared lines: 13, col: 8/1/1/0 
Epoch: 184 / 3000, Score: 14800,  block: 301,  Reward: -1.1603 Cleared lines: 115, col: 64/18/5/0 
Epoch: 185 / 3000, Score: 15500,  block: 301,  Reward: -0.2713 Cleared lines: 116, col: 52/27/2/1 
Epoch: 186 / 3000, Score: 14900,  block: 301,  Reward: -2.1556 Cleared lines: 112, col: 48/26/4/0 
Epoch: 187 / 3000, Score: 17300,  block: 301,  Reward: 0.1581 Cleared lines: 116, col: 49/23/3/3 
Epoch: 188 / 3000, Score: 14900,  block: 301,  Reward: -1.6967 Cleared lines: 112, col: 48/26/4/0 
Epoch: 189 / 3000, Score: 14500,  block: 301,  Reward: -1.6819 Cleared lines: 117, col: 61/25/2/0 
Epoch: 190 / 3000, Score: 16000,  block: 301,  Reward: -4.0796 Cleared lines: 115, col: 50/22/7/0 
Epoch: 191 / 3000, Score: 14500,  block: 301,  Reward: -0.3494 Cleared lines: 117, col: 80/12/3/1 
Epoch: 192 / 3000, Score: 14000,  block: 282,  Reward: -4.8866 Cleared lines: 101, col: 42/23/3/1 
Epoch: 193 / 3000, Score: 9700,  block: 219,  Reward: -6.3941 Cleared lines: 72, col: 41/9/3/1 
Epoch: 194 / 3000, Score: 14400,  block: 301,  Reward: -1.4364 Cleared lines: 114, col: 59/23/3/0 
Epoch: 195 / 3000, Score: 15300,  block: 301,  Reward: -1.9265 Cleared lines: 112, col: 55/18/7/0 
Epoch: 196 / 3000, Score: 16400,  block: 301,  Reward: 0.6131 Cleared lines: 113, col: 58/17/3/3 
Epoch: 197 / 3000, Score: 14100,  block: 301,  Reward: -1.5694 Cleared lines: 117, col: 64/25/1/0 
Epoch: 198 / 3000, Score: 17000,  block: 301,  Reward: -0.3055 Cleared lines: 116, col: 47/22/7/1 
Epoch: 199 / 3000, Score: 16100,  block: 301,  Reward: -1.2004 Cleared lines: 117, col: 43/32/2/1 
Epoch: 200 / 3000, Score: 16800,  block: 301,  Reward: -1.6970 Cleared lines: 118, col: 42/30/4/1 
Epoch: 201 / 3000, Score: 10100,  block: 218,  Reward: -6.2650 Cleared lines: 71, col: 30/14/3/1 
Epoch: 202 / 3000, Score: 14200,  block: 288,  Reward: -20.4891 Cleared lines: 99, col: 47/15/6/1 
Epoch: 203 / 3000, Score: 14500,  block: 301,  Reward: -1.7933 Cleared lines: 114, col: 57/24/3/0 
Epoch: 204 / 3000, Score: 15900,  block: 301,  Reward: 0.1082 Cleared lines: 116, col: 54/23/4/1 
Epoch: 205 / 3000, Score: 14400,  block: 301,  Reward: -1.0994 Cleared lines: 118, col: 71/19/3/0 
Epoch: 206 / 3000, Score: 14400,  block: 291,  Reward: -7.2525 Cleared lines: 99, col: 39/18/8/0 
Epoch: 207 / 3000, Score: 15100,  block: 301,  Reward: -1.1597 Cleared lines: 118, col: 67/18/5/0 
Epoch: 208 / 3000, Score: 16000,  block: 301,  Reward: -4.5184 Cleared lines: 113, col: 54/16/9/0 
Epoch: 209 / 3000, Score: 18200,  block: 301,  Reward: 2.0975 Cleared lines: 116, col: 46/20/6/3 
Epoch: 210 / 3000, Score: 14000,  block: 301,  Reward: -2.5217 Cleared lines: 113, col: 64/20/3/0 
Epoch: 211 / 3000, Score: 15400,  block: 301,  Reward: -1.6892 Cleared lines: 115, col: 57/20/6/0 
Epoch: 212 / 3000, Score: 15300,  block: 301,  Reward: -1.8145 Cleared lines: 116, col: 57/22/5/0 
